order_item_id,order_id,product_id,quantity,unit_price_cents,discount_cents
1,1,35,3,1499,0
2,1,4,2,1499,0
3,1,13,1,12999,200
4,2,4,2,1499,0
5,3,38,1,2499,0
6,3,22,1,999,500
7,4,52,1,1499,0
8,4,43,1,2499,0
9,4,1,2,2499,0
10,5,9,3,999,200
11,6,50,2,999,500
12,6,38,1,2499,200
13,6,33,1,5999,500
14,6,3,3,1499,500
15,7,55,2,2499,200
16,7,44,1,3999,200
17,7,46,2,2499,0
18,7,58,1,3999,0
19,8,25,3,12999,500
20,8,19,2,2499,500
21,8,39,2,2499,0
22,9,57,1,2499,200
23,9,22,2,999,200
24,9,27,3,2499,0
25,9,21,2,5999,0
26,10,5,1,12999,0
27,10,6,2,3999,0
28,10,48,3,3999,0
29,10,52,1,1499,500
30,11,27,2,2499,200
31,12,37,3,12999,0
32,13,23,3,3999,0
33,14,55,3,2499,500
34,14,40,3,2499,500
35,14,2,3,3999,0
36,14,2,1,3999,0
37,15,56,1,1499,500
38,15,43,2,2499,0
39,16,25,2,12999,200
40,16,22,1,999,0
41,17,57,1,2499,0
42,18,18,2,999,200
43,19,14,3,999,0
44,19,23,2,3999,0
45,19,19,3,2499,500
46,20,26,3,2499,0
47,20,1,1,2499,0
48,21,1,2,2499,200
49,22,33,3,5999,0
50,22,5,2,12999,0
51,23,56,2,1499,500
52,24,19,1,2499,200
53,24,2,2,3999,0
54,24,52,3,1499,200
55,24,54,3,999,0
56,25,38,2,2499,500
57,25,6,2,3999,0
58,25,48,2,3999,0
59,25,22,1,999,0
60,26,58,2,3999,0
61,26,47,3,999,0
62,27,12,3,2499,0
63,27,49,3,5999,0
64,28,44,3,3999,500
65,28,21,3,5999,0
66,28,10,2,999,0
67,28,31,2,2499,0
68,29,20,2,1499,200
69,30,5,3,12999,0
70,30,40,3,2499,500
71,30,25,2,12999,500
72,31,21,3,5999,200
73,31,33,1,5999,0
74,32,33,3,5999,0
75,33,24,2,12999,0
76,33,25,2,12999,0
77,34,7,3,1499,200
78,34,19,2,2499,500
79,34,56,1,1499,0
80,35,20,3,1499,200
81,35,9,3,999,0
82,35,20,3,1499,200
83,36,33,2,5999,0
84,36,24,2,12999,0
85,36,14,2,999,200
86,36,13,1,12999,0
87,37,43,2,2499,500
88,38,12,3,2499,500
89,38,52,1,1499,200
90,39,29,3,1499,0
91,39,49,3,5999,200
92,40,58,1,3999,0
93,40,44,3,3999,200
94,40,30,2,999,200
95,40,33,3,5999,200
96,41,4,3,1499,200
97,41,56,2,1499,500
98,41,60,1,999,500
99,42,18,2,999,500
100,42,10,2,999,0
101,43,27,1,2499,200
102,44,24,1,12999,0
103,45,9,1,999,0
104,45,59,2,5999,0
105,46,2,2,3999,0
106,47,50,2,999,0
107,48,41,3,1499,200
108,48,5,1,12999,200
109,48,39,3,2499,0
110,48,41,3,1499,500
111,49,1,3,2499,0
112,49,16,3,12999,200
113,49,12,3,2499,0
114,49,34,2,12999,0
115,50,25,2,12999,0
116,51,23,1,3999,0
117,52,23,3,3999,0
118,53,41,1,1499,0
119,53,5,3,12999,200
120,53,3,2,1499,0
121,53,3,1,1499,0
122,54,17,1,12999,0
123,54,19,2,2499,0
124,54,56,3,1499,0
125,54,18,1,999,0
126,55,22,1,999,200
127,55,45,2,12999,0
128,55,60,3,999,0
129,55,52,1,1499,200
130,56,21,1,5999,0
131,56,21,3,5999,0
132,56,20,2,1499,500
133,57,3,3,1499,0
134,57,40,2,2499,0
135,57,41,1,1499,0
136,57,43,3,2499,200
137,58,55,3,2499,200
138,58,3,1,1499,0
139,59,37,1,12999,500
140,59,10,3,999,200
141,59,24,2,12999,200
142,59,49,1,5999,500
143,60,42,2,2499,0
144,60,8,1,3999,0
145,60,32,3,999,200
146,61,46,2,2499,0
147,61,40,2,2499,200
148,61,13,1,12999,0
149,62,6,3,3999,0
150,62,43,2,2499,0
151,62,36,3,5999,0
152,62,58,2,3999,0
153,63,13,1,12999,0
154,64,30,3,999,0
155,64,40,1,2499,0
156,64,20,2,1499,200
157,65,9,2,999,0
158,66,57,3,2499,500
159,66,12,1,2499,200
160,67,20,1,1499,0
161,67,21,3,5999,0
162,68,41,3,1499,0
163,68,9,3,999,0
164,69,38,3,2499,0
165,69,11,3,2499,500
166,70,6,1,3999,500
167,71,40,3,2499,0
168,71,32,3,999,500
169,71,19,3,2499,0
170,71,31,1,2499,200
171,72,11,2,2499,200
172,73,21,3,5999,0
173,73,47,2,999,200
174,74,21,1,5999,200
175,75,7,1,1499,0
176,75,25,3,12999,200
177,76,13,1,12999,200
178,76,33,2,5999,200
179,76,57,2,2499,200
180,77,16,1,12999,500
181,77,23,1,3999,0
182,77,19,2,2499,500
183,77,57,3,2499,200
184,78,28,1,12999,0
185,79,4,3,1499,500
186,79,13,2,12999,500
187,79,19,1,2499,200
188,79,33,2,5999,500
189,80,26,2,2499,0
190,81,33,1,5999,0
191,81,3,1,1499,0
192,81,52,2,1499,500
193,81,30,1,999,500
194,82,11,2,2499,500
195,82,48,2,3999,500
196,82,22,3,999,500
197,83,24,2,12999,0
198,84,39,2,2499,0
199,85,38,2,2499,0
200,86,13,1,12999,200
201,87,27,3,2499,500
202,87,59,2,5999,0
203,88,43,2,2499,500
204,88,25,2,12999,0
205,88,30,3,999,0
206,89,13,1,12999,0
207,89,36,2,5999,0
208,89,20,2,1499,0
209,89,45,3,12999,200
210,90,19,1,2499,500
211,90,44,3,3999,200
212,90,58,2,3999,0
213,91,23,2,3999,0
214,92,60,3,999,0
215,92,9,1,999,500
216,92,48,3,3999,0
217,93,4,1,1499,200
218,93,22,3,999,200
219,94,27,3,2499,200
220,94,31,3,2499,0
221,95,59,1,5999,500
222,96,27,1,2499,0
223,96,54,2,999,200
224,97,1,2,2499,500
225,98,57,1,2499,500
226,98,30,2,999,0
227,98,52,1,1499,0
228,98,11,3,2499,200
229,99,51,2,5999,500
230,99,44,1,3999,0
231,99,40,3,2499,200
232,100,43,1,2499,0
233,100,9,2,999,0
234,100,60,1,999,0
235,100,17,2,12999,0
236,101,17,3,12999,0
237,102,11,2,2499,500
238,102,60,3,999,0
239,102,45,1,12999,0
240,103,31,1,2499,200
241,103,48,3,3999,0
242,104,49,1,5999,500
243,104,56,1,1499,500
244,105,4,3,1499,500
245,106,55,3,2499,200
246,106,8,3,3999,0
247,106,46,3,2499,200
248,107,30,1,999,500
249,108,44,2,3999,0
250,108,26,2,2499,0
251,108,48,1,3999,500
252,108,5,1,12999,200
253,109,60,1,999,200
254,110,50,3,999,200
255,110,24,2,12999,200
256,111,8,1,3999,500
257,111,26,3,2499,0
258,111,47,1,999,0
259,112,35,2,1499,0
260,112,16,2,12999,0
261,112,10,2,999,0
262,112,60,3,999,0
263,113,16,1,12999,0
264,114,16,3,12999,0
265,115,49,1,5999,0
266,115,33,2,5999,0
267,116,57,1,2499,500
268,116,15,2,1499,0
269,116,18,1,999,500
270,117,4,2,1499,200
271,117,51,3,5999,0
272,117,45,2,12999,200
273,117,10,2,999,200
274,118,20,3,1499,0
275,118,52,2,1499,0
276,119,25,1,12999,0
277,119,14,2,999,0
278,120,4,2,1499,200
279,120,44,3,3999,500
280,121,31,1,2499,0
281,121,20,1,1499,0
282,122,59,1,5999,500
283,122,46,1,2499,200
284,122,59,1,5999,500
285,122,21,2,5999,200
286,123,24,3,12999,200
287,123,30,1,999,200
288,123,49,2,5999,0
289,124,48,1,3999,0
290,124,17,3,12999,500
291,125,13,2,12999,0
292,125,25,3,12999,0
293,126,47,3,999,200
294,126,30,1,999,0
295,126,11,1,2499,500
296,126,32,1,999,500
297,127,53,3,12999,0
298,128,5,3,12999,0
299,128,1,1,2499,500
300,129,43,2,2499,0
301,129,1,3,2499,500
302,129,27,1,2499,0
303,129,34,3,12999,0
304,130,52,1,1499,0
305,130,59,1,5999,500
306,130,10,1,999,0
307,130,40,3,2499,0
308,131,26,2,2499,500
309,131,16,3,12999,0
310,131,20,3,1499,0
311,132,36,2,5999,0
312,132,41,1,1499,0
313,132,6,2,3999,200
314,132,42,2,2499,500
315,133,58,3,3999,500
316,133,31,2,2499,0
317,134,12,2,2499,0
318,135,60,1,999,0
319,135,11,3,2499,0
320,135,37,2,12999,500
321,135,22,2,999,0
322,136,28,1,12999,0
323,137,2,3,3999,0
324,137,51,2,5999,200
325,137,15,2,1499,500
326,138,6,3,3999,0
327,138,52,1,1499,0
328,138,6,2,3999,0
329,138,25,3,12999,0
330,139,1,2,2499,200
331,140,12,2,2499,200
332,141,2,1,3999,0
333,142,1,2,2499,200
334,142,25,1,12999,500
335,142,58,1,3999,500
336,142,34,1,12999,200
337,143,32,1,999,0
338,143,11,2,2499,0
339,143,27,2,2499,200
340,144,39,3,2499,0
341,144,30,1,999,0
342,144,20,1,1499,200
343,144,22,3,999,200
344,145,20,2,1499,500
345,145,45,1,12999,200
346,146,48,3,3999,200
347,146,37,1,12999,0
348,146,25,2,12999,200
349,147,44,3,3999,0
350,147,47,2,999,0
351,148,44,2,3999,0
352,148,41,2,1499,0
353,148,17,3,12999,0
354,148,46,2,2499,200
355,149,35,3,1499,200
356,149,35,1,1499,0
357,149,45,3,12999,500
358,149,41,1,1499,0
359,150,37,3,12999,200
360,151,15,3,1499,500
361,151,36,3,5999,500
362,151,15,2,1499,0
363,152,2,2,3999,0
364,152,19,2,2499,0
365,152,8,3,3999,0
366,153,34,2,12999,0
367,153,31,1,2499,200
368,154,52,3,1499,0
369,155,60,3,999,0
