order_id,customer_id,ordered_at,status,currency
1,228,2024-01-01T17:06:00,completed,USD
2,47,2024-01-01T12:41:00,returned,USD
3,65,2024-01-01T12:04:00,cancelled,USD
4,2,2024-01-01T10:08:00,completed,USD
5,166,2024-01-01T11:16:00,completed,USD
6,270,2024-01-01T08:30:00,completed,USD
7,155,2024-01-01T06:03:00,shipped,USD
8,76,2024-01-01T10:17:00,completed,USD
9,59,2024-01-01T12:27:00,returned,USD
10,131,2024-01-01T10:43:00,completed,USD
11,31,2024-01-01T16:42:00,cancelled,USD
12,27,2024-01-01T15:22:00,completed,USD
13,80,2024-01-01T21:14:00,returned,USD
14,59,2024-01-01T13:51:00,completed,USD
15,159,2024-01-01T17:00:00,completed,USD
16,73,2024-01-01T06:05:00,returned,USD
17,160,2024-01-01T16:49:00,returned,USD
18,81,2024-01-01T07:43:00,cancelled,USD
19,249,2024-01-01T20:26:00,cancelled,USD
20,250,2024-01-01T15:02:00,cancelled,USD
21,71,2024-01-02T15:20:00,completed,USD
22,90,2024-01-02T18:34:00,completed,USD
23,224,2024-01-02T20:58:00,completed,USD
24,220,2024-01-02T18:45:00,cancelled,USD
25,46,2024-01-02T09:15:00,shipped,USD
26,262,2024-01-02T09:33:00,returned,USD
27,121,2024-01-02T10:16:00,completed,USD
28,91,2024-01-02T21:29:00,returned,USD
29,141,2024-01-02T07:22:00,cancelled,USD
30,20,2024-01-02T17:53:00,completed,USD
31,284,2024-01-02T07:28:00,returned,USD
32,231,2024-01-02T16:45:00,completed,USD
33,21,2024-01-02T20:28:00,completed,USD
34,27,2024-01-02T16:04:00,returned,USD
35,42,2024-01-02T10:58:00,cancelled,USD
36,169,2024-01-02T22:05:00,completed,USD
37,40,2024-01-03T09:32:00,completed,USD
38,68,2024-01-03T18:09:00,cancelled,USD
39,23,2024-01-03T17:43:00,shipped,USD
40,120,2024-01-03T13:19:00,cancelled,USD
41,83,2024-01-03T10:55:00,completed,USD
42,64,2024-01-03T08:48:00,completed,USD
43,114,2024-01-03T17:59:00,shipped,USD
44,258,2024-01-03T13:24:00,completed,USD
45,164,2024-01-03T16:50:00,completed,USD
46,241,2024-01-03T06:57:00,shipped,USD
47,77,2024-01-03T22:27:00,cancelled,USD
48,155,2024-01-03T07:15:00,completed,USD
49,124,2024-01-03T10:18:00,returned,USD
50,270,2024-01-03T22:50:00,cancelled,USD
51,199,2024-01-03T14:47:00,completed,USD
52,54,2024-01-04T16:08:00,cancelled,USD
53,90,2024-01-04T20:44:00,returned,USD
54,162,2024-01-04T22:25:00,completed,USD
55,224,2024-01-04T20:57:00,shipped,USD
56,41,2024-01-04T11:34:00,shipped,USD
57,219,2024-01-04T20:22:00,completed,USD
58,187,2024-01-04T11:01:00,cancelled,USD
59,121,2024-01-04T17:23:00,returned,USD
60,71,2024-01-04T17:25:00,cancelled,USD
61,288,2024-01-04T14:49:00,completed,USD
62,38,2024-01-04T11:57:00,shipped,USD
63,90,2024-01-04T22:14:00,completed,USD
